מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2019 - מועד א',איזה רכיב ממברנלי ב-CTL יוצר קשר ישיר עם פתוגן תוך תאי?,MHC Class I,TLR,CD8,כל התשובות נכונות,,,3,אימונולוגיה,TRUE,,
שחזורים 2019 - מועד א',"מה נכון לגבי אנדוגן (פתוגן תוך תאי, בתוך הגוף)?",מוצג על גבי mhc class II,מוצג על גבי MHC class I שמבוטא על ידי נויטרופילים,מזוהה על ידי tcr בתאים עם CD8,מזוהה על ידי tcr בתאים עם CD4,,,3,אימונולוגיה,FALSE,,
שחזורים 2019 - מועד א',מה מתאפיין בClonal selections?,תא T מזהה אנטיגן שחלקיו הוצגו על מולקולת mlg מתאימות,התרבות של תאי CTL-P לאחר שהכירו את חלקי האנטיגן ונחשפו ל-IL2,יצירת שבט תאי T המבטאים TCRים שונים,יצירת שבט של מאקרופאג'ים,,,2,אימונולוגיה,FALSE,,
שחזורים 2019 - מועד א',"מה הסדר הנכון של האירועים המתרחשים בזרוע ההומולרלית של מערכת החיסון
1.תא Th מזהה אנטיגן על CD4
2תא Th עוזר לתאי B שזיהו את אותו פתוגן
3. שקר כלשהו על תאי T וCD8
4. עוד שקר כלשהו
5. שיחרור נוגדנים על ידי תאי פלזמה.
6. פרוליפרציה של תאי B
7. זיהוי אנטיגן על ידי תא B","3, לאחר מכן 6 ואז 5","4, לאחר מכן 6, 5, ואז 2","1 ו7 קורים במקביל, ואז שלב 2, ואז שלב 6 ואז 5.","1 ו6 קוראים במקביל, ואז שלב 4 ואז שלב 5.",,,3,אימונולוגיה,FALSE,,
שחזורים 2019 - מועד א',מה נכון לגבי מערכת החיסון המולדת?,מאקרופאג'ים מבצעים פאגוציטוזה של אנטיגנים והם professional APC,,,,,,,אימונולוגיה,FALSE,,
שחזורים 2019 - מועד א',מה קורה לאחר מתן חיסון פאסיבי מלאכותי באמצעות נוגדנים?,הגורם הזר מנוטרל ויש יצירת זכרון חיסוני,תאי CTL הורגים את הגורם הזר,הגורם הזר מנוטרל אך הנוגדנים שהוזרקו עלולים לגרום במצבים מסוימים ליצירת תגובה חיסונית כנגדם אם ייזרקו שוב לאותו אדם,מתפתחת תגובה דלקתית בה פאגוציטים מכירים את הגורם הזר באופן ספציפי,,,3,אימונולוגיה,FALSE,,
שחזורים 2019 - מועד א',אנזימי עיכול המופרשים בקיבה הם דוגמא לאיזה תהליך?,משוב שלילי,משוב חיובי,הומאוסטזיס,,,,2,פיזיולוגיה,FALSE,,
שחזורים 2019 - מועד א',מה אינו מאפיין תרדמת ביונקים?,ירידה בטמפרטורת הגוף,ירידה בקצב מטבולי,אגירת מזון במחילה - Burrow,אגירת שומן בגוף לפני התרדמת,,,3,פיזיולוגיה,FALSE,,
שחזורים 2019 - מועד א',מה לא אחד התפקידים של חומצות שומן?,בנייה של ממברנת התא,אגירת מזון,סיגנאלים,שלד לחומצות גרעין,,,4,פיזיולוגיה,FALSE,,
שחזורים 2019 - מועד א',"מה משותף לחומצות אמיניות, חומצות שומן וויטמינים?",חלקם לא מיוצרים בגוף באופן טבעי,כולם בעלי מבנה טבעתי,כולם מיוצרים בגוף באופן טבעי,כולם עוד משהו לא נכון ומומצא,,,1,פיזיולוגיה,FALSE,,
שחזורים 2019 - מועד א',פגיעה במסתם הצניפי (המיטרלי) תביא ל-,חזרה של דם אל העליה הימנית בעת דיאסטולה של החדר בימני,חזרה של דם אל העליה השמאלית בעת סיסטולה של החדר השמאלי,מעבר של דם אל אבי העורקים בעת סיסטולה של העליה השמאלית,מעבר של דם אל עורק הריאה בעת דיאסטולה של העליה הימנית,,,2,פיזיולוגיה,FALSE,,
שחזורים 2019 - מועד א',מה מהבאים מביא לעלייה בקצב הלב?,אפינפרין,טמפרטורה,מערכת סימפטתית,כל התשובות נכונות,,,4,פיזיולוגיה,FALSE,,
שחזורים 2019 - מועד א',מה אינו נכון?,רמות נמוכות של גלוקוז בדם גורם להפרשת אינסולין מהלבלב וכתוצאה מכך לפירוק מאגרי גליקוגן,אינסולין גורם לכניסה של גלוקוז לתאים ואגירתו כגליקוגן,גלוקוגן גורם לפירוק מאגרי גליקוגן בכבד שמביא להפרשת גלוקוז בדם,רמות גבוהות של גלוקוז בדם גורר הפרשת אינסולין מהלבלב,,,1,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',איזו מהטענות הבאות נכונה לגבי העברת אותות בצורה נוירואנדוקרינית בציר היפותלמוס-היפופוזה?,נוירונים בהיפותלמוס שולחים אקסונים שנכנסים לתוך האונה הקדמית של ההיפופיזה,הורמונים היפותלמיים מופרשים לאיזור של נימים בשם median eminence ומשם הם מופרשים ישירות אל שאר הגוף,האונה הקדמית של ההיפופיזה מייצרת ומפרישה הורמונים בתגובה להורמונים מההיפותלמוס,,,,3,הורמונים רבייה ואוסמורגולציה,FALSE,,
שחזורים 2019 - מועד א',מה נכון לגבי אוסמורגולציה של דגים שחיים במים מתוקים? (לא סגור על הסעיפים..),מפיקים שתן דליל וסופגים יונים דרך הזימים,מפיקים שתן דליל ומאבדים יונים דרך הזימים,מפיקים שתן מרוכז וסופגים יונים דרך הזימים,מפיקים שתן מרוכז ומאבדים יונים דרך הזימים,,,1,הורמונים רבייה ואוסמורגולציה,FALSE,,
