מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2019 - מועד א',על מה ביסס דרווין את התיאורה שלו?,חקר מאובנים (פלאונטולוגיה),חקר מדעי כדור הארץ (גאולוגיה),על בסיס התיאורה של למרק,א+ב+ג,,,4,אבולוציה,TRUE,,
שחזורים 2019 - מועד א',מה ההבדל בין דרווין למרק?,למרק דיבר על תכונות נרכשות,התיאורה של למרק אינו אבולוציה,התיאוריה של דרווין היא על אבולוציה של 7500 שנים בלבד.,א+ב,,,1,אבולוציה,TRUE,,
שחזורים 2019 - מועד א',אילו מההיגדים הבאים מייצגים שינויים אבולוציוניים?,שחיקה של הר לאורך זמן,נפילתם של עלי השלכת,עמידות לאנטיביוטיקה בחיידקים,ב+ג,א+ב+ג,,3,אבולוציה,TRUE,,
שחזורים 2019 - מועד א',איזה מהתנאים הבאים מונע לחלוטין ברירה טבעית באוכלוסיות לאורך זמן,שונות בין פרטים רק בגורמים סביבתיים,קיום של מעבר גנטים הוריזונטלי,גודל האוכלוסייה משתנה עם הזמן,אוכלוסיה החיה בבית גידול ללא מתחרים,אוכלוסיה עם קצב מוטציה גבוה,,1,אבולוציה,FALSE,,
שחזורים 2019 - מועד א',בעקבות ההתחממות הגלובלית שפני סלע עברו סלקציה מייצבת. נצפה ש:,השונות הגנטית תקטן,השונות הגנטית תגדל,לא נראה שינוי,לא ניתן לדעת,,,1,מיקרואבולוציה,FALSE,,
שחזורים 2019 - מועד א',מה הוא סחף גנטי ?,שינוי אקראי בשכיחות האללים באוכלוסיה כתוצאה מאוכלוסיה גדולה,שינוי אקראי בשכיחות האללים באוכלוסיה כתוצאה מאוכלוסיה קטנה,היעדר שינוי בשכיחות האללים כתוצאה מאוכלוסיה גדולה,היעדר שינוי בשכיחות האללים כתוצאה מאוכלוסיה קטנה,,,2,מיקרואבולוציה,FALSE,,
שחזורים 2019 - מועד א',משפחה מרובת גנים (Multigene) מורכבת מ:,גנים אשר תוצרי החלבון שלהם זהים אחד לשני,"עותקים מרובים של גנים דומים שכנראה נוצרו ע""י שכפול",חזרות של רצפי DNA כמו אלו הנמצאים בדנטומרים וטטומרים,גן שהאקסון שלו יכול להחתך בכמה דרכים,גן שמור שמור מאוד שמופיע במספר מינים שונים,,2,גנומיקה,FALSE,,
שחזורים 2019 - מועד א',"אוכלוסיית חתולי רחוב יש פרטים שחורים וחומים בלבד. הגנוטיפ החום הוא רצסיבי aa, הגנוטיפ השחור הוא דומיננטי AA. דגמת אוכלוסייה של 1000 פריטים וגילית ששחיכות האלל החום היא 36%. מה שכיחות האלל A? 
",36%,72%,60%,40%,18%,,4,גנומיקה,FALSE,,
שחזורים 2019 - מועד א',"לבן אדם 30,000 Mb, לשושן 12,00 Mb ולשמר 13 Mb. מדוע מהאינפורמציה הזאת אי אפשר להסיק יחסים אבולוציונים?",יחסים אבולוציונים מבוססים על מספר גנים ולא על כמות דנ״א.,יחסים אבולוציונים מבוססים על צפיפות גנים.,"יחסים אבולוציונים מבוססים על דמיון בין רצפים שמקודדים לחלבון, לא כל הגנים.",יחסים אבולוציוניים מבוססים על כמות רצפים חוזריים של דנ״א.,אפשר להסיק לגבי דמיון אבולוציוני רק כשהפרטים הם מאותה האוכלוסיה.,,3,גנומיקה,FALSE,,
שחזורים 2019 - מועד א',ממה Multigenes מורכבים?,תוצרי חלבון זהים,עותקים של גנים דומים ששוכפלו,"חזרות של רצפי דנ""א",אקסונים נחתכים בצורות שונות,,,2,גנומיקה,FALSE,,
