מושגים,אנגלית,משמעות,נושא
אבולוציה ביולוגיה,Bilogical evolution,"שינוים העוברים בתורשה, תאוריה שיכולה להסביר גם שינוי קצרי טווח וגם ארוכי טווח",אבולוציה - עדי שטרן
התאוריה של למארק,Lamark's hypothesis of evolution,"הורשה של תוכנות שימושיות,
הסיבה שיש שינוי עם הדורות, היא כי יש לאורגניזם נטייה לרצות לשאוף לשינוי, ועל ידי שינוי עצמי יש לו יכולת להשפיע על ההורשה של הדורות
(דוגמת הגירפה שמתחה את הצוואר)",אבולוציה - עדי שטרן
פלאונתולוגיה,,חקר המאובנים,אבולוציה - עדי שטרן
גיאולוגיה ,,"חקר מדעי כדור הארץ המוצק, חוקר את תהליכיו ותכונותיו, זמן היווצרותו, את מרכיביו השונים, את התהליכים הדינמיים המתרחשים בו ואת אוצרות הטבע הטמונים בו",אבולוציה - עדי שטרן
הברירה הטבעית,Natural Selection,התהליך שבו פרטים עם תכונות מועדפות מורשות הינם בעלי סיכוי גבוה יותר לשרוד ולהתרבות.,אבולוציה - עדי שטרן
תאוריה מדעית,,תאוריה שניתן להפריך,אבולוציה - עדי שטרן
מיקרו-אבולוציה ,,": שינויים קצרי טווח באבולוציה, למשל שינויים מדור לדור",אבולוציה - עדי שטרן
מקרו אבולוציה,,"שינויים ארוכי טווח באבולוציה, למשל שינויים לאורך מיליוני שנים ",אבולוציה - עדי שטרן
,genetics Population ,ענף מדעי העושה שימוש במתמטיקה כדי לתאר שינויים קצרי טווח באבולוציה,אבולוציה - עדי שטרן
גנוטיפ,,הרמה המולקולרית של הגנים שלנו,אבולוציה - עדי שטרן
פנוטיפ,,משהו שאנחנו יכולים להגדיר ולבצע עליו סלקציה,אבולוציה - עדי שטרן
אוכלוסיה,,כקבוצת פרטים מקומית שיכולה להתרבות ולהוליד צאצאים פוריים,אבולוציה - עדי שטרן
מוטציות,,נוצרות כאשר הפולימראז רץ על פני הגנום ומכניס שגיאה בחומר הגנטי,אבולוציה - עדי שטרן
רקומבינציה,,"שחלוף, מתרחש במינים שמתרבים מינית. רקומבינציה מתרחשת בחלוקה התאית ויוצרת שילובים חדשים של תכונות",אבולוציה - עדי שטרן
דופליקציה,,"תהליך שבו כרומוזום שלם יכול לעבור העתקה. יכול להתרחש גם בחלקים של הכרומוזום. דופליקציה מייצרת effect complex ,כלומר שינוי מאוד דרמטי",אבולוציה - עדי שטרן
לוקוס,,"מקום מסוים בגנום, יכול להיות אזור בגנום או נוקליאוטיד יחיד.",אבולוציה - עדי שטרן
מוטציות סינונימיות ,synonymous,"מוטציות המתבטאות בשינוי בקודון אך לא בחומצות האמיניות אליו מקודד, לרוב מוטציות ניטראליות",אבולוציה - עדי שטרן
מוטציה אדפטיבית ,,מוטציה שמקנה יתרון לאורגניזם היא מוטציה מאוד מאוד נדירה! כמובן שגם מדובר במוטציות המעניינות ביותר שמובילות לאבולוציה.,אבולוציה - עדי שטרן
קצב המוטציה  ,,קצב המוטציה  היא ההסתברות שהפולימראז יכניס שגיאה בנוקליאוטיד מסוים בכל מחזור רפליקציה. ,אבולוציה - עדי שטרן
משוואת Hardy-Weinberg,,משוואה הנותנת את ההבנה למה לצפות מבחינת שכיחויות אללים ופנוטיפים כאשר אין אבולוציה (שינוי באללים),אבולוציה - עדי שטרן
סחף גנטי,Genetic Drift ,"מתאר שינויים בשכיחות האללים שמתרחשים באופן אקראי ולא צפויי מדור לדור כתוצאה מגודל
מדגם (=גודל האוכלוסיה) קטן.",אבולוציה - עדי שטרן
תנועה של גנים/ הגירה,Gene Flow,זרימה של אללים בין אוכלוסיות,אבולוציה - עדי שטרן
אללים אדפטיביים ,, מקנים לאורגניזמים שנושא אותם יכולת שרידות והתרבות יותר טובים.,אבולוציה - עדי שטרן
סלקציה מטהרת,Directional selection,סלקציה שמתעדפת זנים שנמצאים בקצה של הספקטרום הפנוטיפי (בעל כיוון מסויים).,אבולוציה - עדי שטרן
סלקציה המפרה את האיזון ,Disruptive selection,סלקציה המתעדפת את שתי הקצוות,אבולוציה - עדי שטרן
סלקציה מייצבת,Stabilizing selection,"סלקציה המתעדפת את מה שבאמצע ולא את הקצוות, כלומר ערבוב גנים",אבולוציה - עדי שטרן
